SKU,NAME,DESCRIPTION,WAREHOUSE_NUMBER
'AB12','Blue T-Shirt','A cotton t-shirt with a blue color and round neckline',1234
'CD34','Black Jeans','A pair of black denim jeans with a slim fit and straight leg cut',5678
'EF56','Red Sneakers','A pair of red canvas sneakers with white rubber soles',91011
'GH78','Leather Belt','A brown leather belt with silver buckle and adjustable size',1213
'IJ90','Green Hoodie',"'A fleece hoodie with a green color, kangaroo pocket'",1415
'KL12','Leather Wallet','A black leather wallet with multiple card slots and bill compartment',1617
'MN34','Silver Watch','A stainless steel watch with silver dial and black leather strap',1819
'OP56','Blue Backpack','A nylon backpack with blue color and multiple compartments',2021
'QR78','Wool Scarf','A gray wool scarf with fringed edges and soft texture',2223
'ST90','Leather Boots','A pair of brown leather boots with a round toe and lace-up closure',2425
'UV12','Red Hat','A woolen red hat with a pom-pom on top',1415
'WX34','Black Gloves','A pair of black leather gloves with fleece lining',91011
'YZ56','Brown Jacket','A brown leather jacket with zip closure and ribbed cuffs',1234
